genre_ids,id,original_title,vote_average,vote_count
"[12, 14, 10751]",12444,Harry Potter and the Deathly Hallows: Part 1,7.7,10788
"[14, 12, 16, 10751]",10191,How to Train Your Dragon,7.7,7610
"[12, 28, 878]",10138,Iron Man 2,6.8,12368
"[16, 35, 10751]",862,Toy Story,7.9,10174
"[28, 878, 12]",27205,Inception,8.3,22186
"[12, 14, 10751]",32657,Percy Jackson & the Olympians: The Lightning Thief,6.1,4229
"[28, 12, 14, 878]",19995,Avatar,7.4,18676
"[16, 10751, 35]",10193,Toy Story 3,7.7,8340
"[16, 10751, 35]",20352,Despicable Me,7.2,10057
"[16, 28, 35, 10751, 878]",38055,Megamind,6.8,3635
"[16, 35, 10751]",863,Toy Story 2,7.5,7553
"[10751, 14, 12]",12155,Alice in Wonderland,6.6,8713
"[53, 12, 28]",27578,The Expendables,6.1,4647
"[16, 10751]",38757,Tangled,7.5,6407
"[27, 80]",41439,Saw 3D,6.0,1488
"[12, 14, 18, 10749]",24021,The Twilight Saga: Eclipse,6.0,4909
"[28, 53, 878]",20504,The Book of Eli,6.7,3495
"[10402, 10749]",52371,LelleBelle,4.5,36
"[28, 18, 53]",2502,The Bourne Supremacy,7.3,4367
"[18, 53, 9648]",11324,Shutter Island,8.1,12625
"[28, 18, 9648, 53]",2501,The Bourne Identity,7.4,5406
"[28, 35]",37834,Knight and Day,6.0,2494
"[12, 10751, 14]",10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.3,3196
"[18, 10749]",41233,Step Up 3D,6.7,1160
"[53, 28, 12, 35, 80]",34544,The A-Team,6.3,2703
"[18, 36]",45269,The King's Speech,7.7,5013
"[28, 35, 80, 53]",9737,Bad Boys,6.6,2936
"[28, 12, 10751, 14]",10196,The Last Airbender,4.6,2143
"[28, 878, 12, 53]",34851,Predators,6.1,1979
[18],37799,The Social Network,7.2,6116
"[28, 53]",38234,Undisputed III: Redemption,7.4,302
"[18, 36]",568,Apollo 13,7.4,2821
"[28, 53, 878, 12]",95,Armageddon,6.7,4267
"[28, 18, 9648, 53]",2503,The Bourne Ultimatum,7.4,4440
"[12, 14, 28]",18823,Clash of the Titans,5.7,3714
"[35, 10749]",34806,The Back-Up Plan,6.0,806
"[28, 12, 18]",20662,Robin Hood,6.3,2569
"[35, 14, 10751]",35019,Nanny McPhee and the Big Bang,6.1,953
"[35, 12, 14, 16, 10751]",10192,Shrek Forever After,6.1,3843
[35],37735,Easy A,6.8,4168
"[14, 12, 28, 35, 18]",27022,The Sorcerer's Apprentice,5.9,2879
"[28, 35, 10749]",22538,Scott Pilgrim vs. the World,7.3,3882
[35],38365,Grown Ups,6.1,3171
"[35, 10749]",239,Some Like It Hot,8.2,1562
"[80, 18, 28, 53]",41283,Faster,6.2,895
[27],7978,The Wolfman,5.7,1009
"[28, 53]",44048,Unstoppable,6.4,1913
"[18, 53]",44214,Black Swan,7.6,8374
"[16, 12, 10751, 14]",44683,Tinker Bell and the Great Fairy Rescue,6.5,451
"[10749, 18]",61979,Tres metros sobre el cielo,7.5,960
"[12, 28, 18]",23759,Centurion,6.1,673
"[28, 35, 80]",27581,The Other Guys,6.2,2187
"[80, 18, 53]",23168,The Town,7.1,2386
"[28, 37, 18, 14, 53]",20533,Jonah Hex,4.6,708
"[12, 28, 878]",20526,TRON: Legacy,6.3,4387
"[12, 14, 28, 10749]",9543,Prince of Persia: The Sands of Time,6.2,4040
"[35, 16, 10751]",9994,The Great Mouse Detective,7.1,769
"[14, 18]",7980,The Lovely Bones,6.8,2226
[18],705,All About Eve,8.2,685
"[18, 12, 37]",44264,True Grit,7.2,2816
"[53, 80, 27]",43947,I Spit on Your Grave,6.3,977
"[28, 80]",23483,Kick-Ass,7.1,7540
"[35, 878, 16]",51888,Robot Chicken: Star Wars Episode III,7.5,60
"[28, 9648, 53]",27576,Salt,6.3,3240
"[10770, 16, 14, 10751]",47626,Legend of the BoneKnapper Dragon,6.4,116
"[28, 80, 53]",26389,From Paris with Love,6.2,1075
"[28, 16, 9648]",40662,Batman: Under the Red Hood,7.7,756
"[16, 12, 14, 10751]",42949,Arthur 3: la guerre des deux mondes,5.6,865
"[35, 10751, 14]",23023,Tooth Fairy,5.3,1058
"[28, 35, 53]",23631,Machete,6.3,1862
"[80, 18, 9648, 10749]",25376,El secreto de sus ojos,7.9,1141
[35],35056,Date Night,6.0,1743
"[35, 18]",41733,Due Date,6.3,2973
"[28, 878, 53, 80]",31867,Repo Men,6.2,976
"[16, 28]",43641,Superman/Shazam!: The Return of Black Adam,7.1,140
[16],28874,サマーウォーズ,7.5,447
"[28, 12, 18, 10751]",38575,The Karate Kid,6.3,3140
"[35, 10751]",33217,Diary of a Wimpy Kid,6.0,736
"[9648, 27, 28]",29427,The Crazies,6.2,1036
"[28, 53, 80, 9648]",33613,Luftslottet som sprängdes,7.0,705
"[35, 10749]",39451,Little Fockers,5.6,1883
"[28, 12, 35, 80, 53]",39514,RED,6.6,4162
"[18, 10749, 10752]",22971,Dear John,6.8,2676
[27],22894,Legion,5.3,1154
"[12, 14, 16, 878]",37933,ゲド戦記,6.6,502
"[10749, 35]",25195,Leap Year,6.7,990
"[35, 10749, 18]",38408,Life As We Know It,6.8,1748
"[18, 28, 53, 80, 9648]",24253,Flickan som lekte med elden,7.0,881
"[18, 53]",38363,Fair Game,6.6,384
"[35, 10402, 10770]",44244,Camp Rock 2: The Final Jam,6.1,878
"[10752, 28, 12, 18, 53]",22972,Green Zone,6.4,1176
"[28, 12, 16]",30061,Justice League: Crisis on Two Earths,7.2,277
"[18, 10749]",23169,Remember Me,7.1,2079
"[12, 18, 53]",44115,127 Hours,7.0,4469
"[9648, 14, 35, 12]",47533,Scooby-Doo! Curse of the Lake Monster,5.6,171
"[35, 27]",43593,Piranha 3D,5.3,1029
"[12, 18, 28, 14]",37861,Valhalla Rising,6.0,582
"[80, 18, 9648, 53]",12201,Edge of Darkness,6.3,794
"[14, 12, 28, 9648]",35552,Les Aventures extraordinaires d'Adèle Blanc-Sec,6.0,671
"[35, 10749]",32856,Valentine's Day,5.8,1907
"[10749, 18, 53, 80]",43539,The Next Three Days,7.0,1469
"[16, 10751, 10770]",50393,Kung Fu Panda Holiday,6.6,110
"[18, 53, 9648]",26388,Buried,6.6,1487
"[28, 18, 36]",11645,乱,8.1,600
"[12, 28, 35, 53]",41135,Operation: Endgame,4.9,88
"[35, 12, 10751, 14]",38745,Gulliver's Travels,5.1,1282
"[16, 12, 10751, 14]",41216,Legend of the Guardians: The Owls of Ga'Hoole,6.6,1223
"[28, 35, 10751]",23172,The Spy Next Door,5.7,650
"[35, 99, 28]",16290,Jackass 3D,6.3,655
[18],13078,The Babysitters,5.3,125
"[28, 53, 80]",15357,Banlieue 13 - Ultimatum,6.1,555
"[53, 27]",10664,[REC]²,6.5,920
"[12, 16, 10751, 35]",51170,Open Season 3,5.5,237
"[35, 18, 10749]",38357,Morning Glory,6.3,717
"[53, 80, 18, 28]",25941,Harry Brown,6.8,505
"[35, 10751, 28, 14]",39691,Cats & Dogs: The Revenge of Kitty Galore,4.9,273
[18],45317,The Fighter,7.3,2325
"[18, 10402, 10749]",27,9 Songs,4.9,170
"[28, 53, 10749]",37710,The Tourist,6.1,3133
"[18, 10749]",40080,The Cutting Edge: Fire & Ice,6.0,63
[878],830,Forbidden Planet,7.3,388
"[16, 10751, 14]",34134,Barbie in A Mermaid Tale,6.7,282
"[18, 28, 36]",14756,葉問,7.7,1906
"[28, 35, 53, 10749]",37821,Killers,5.8,1314
"[35, 10749]",38303,You Again,6.2,734
"[27, 9648, 53]",44040,Devil,5.9,1516
"[28, 12, 80, 9648, 53]",34813,The Losers,6.2,844
"[18, 53, 80, 9648]",44629,Animal Kingdom,6.8,399
"[18, 80]",33909,Wall Street: Money Never Sleeps,6.0,797
"[18, 53, 878]",43933,Monsters,6.2,848
"[878, 35, 12]",23048,Hot Tub Time Machine,6.0,1383
"[16, 35, 10751, 80, 9648]",14447,A Matter of Loaf and Death,7.2,219
"[18, 35, 10749]",43347,Love & Other Drugs,6.9,2509
"[14, 18, 10751]",40205,16 Wishes,5.9,688
"[18, 10749, 878]",42188,Never Let Me Go,6.8,1294
"[35, 18]",43923,It's Kind of a Funny Story,7.0,1324
[18],38167,Eat Pray Love,6.0,1208
"[35, 18, 10749]",37786,Sex and the City 2,5.9,809
"[35, 80, 18]",37495,Four Lions,7.0,621
"[35, 14, 10749]",13477,When in Rome,5.9,703
"[28, 35, 18]",27573,The Bounty Hunter,5.7,1627
[18],39013,Winter's Bone,6.9,931
"[18, 10749]",52338,Waiting for Forever,5.7,172
"[18, 27, 9648, 53]",43931,My Soul to Take,5.4,247
"[27, 9648, 53]",23437,A Nightmare on Elm Street,5.5,1408
"[10749, 18]",43949,Flipped,7.4,859
"[18, 27, 9648]",41402,Let Me In,6.7,1061
"[18, 53]",38199,Unthinkable,6.7,623
[53],44363,Frozen,5.8,987
"[28, 35, 80, 53]",29564,Smokin' Aces 2: Assassins' Ball,5.4,141
"[14, 18]",34647,Enter the Void,7.3,773
"[80, 27]",55890,Bereavement,5.3,71
[99],44639,Inside Job,7.8,466
"[80, 53]",101669,Mother's Day,6.4,193
"[27, 53]",7340,Carrie,7.1,1766
"[18, 10749]",37950,Charlie St. Cloud,6.9,1398
"[35, 10751]",35169,Furry Vengeance,4.6,283
"[80, 35, 18]",45324,Casino Jack,6.1,149
"[35, 10749, 10770, 10402]",35558,Starstruck,6.7,627
"[10749, 35]",39285,Beauty & the Briefcase,5.5,250
"[18, 27, 9648, 53]",36419,After.Life,5.7,416
"[35, 18]",44009,Another Year,7.0,150
"[35, 18, 10749]",37056,Letters to Juliet,6.9,1706
[18],27585,Rabbit Hole,6.8,292
"[28, 35]",44147,Wild Target,6.4,356
"[27, 18, 53]",38358,The Last Exorcism,5.6,519
"[53, 18]",43549,The Experiment,6.5,553
"[16, 10751, 35]",50135,Konferenz der Tiere,5.4,151
"[18, 28, 35, 53, 80]",26715,Bitch Slap,4.7,148
"[10749, 35]",41211,L'arnacoeur,6.6,761
"[18, 10751, 10749]",35690,The Last Song,7.2,2199
[35],48415,Benvenuti al sud,6.7,1071
